omschrijving_sluit;sluit_barcode;beeld;aantal
Rol 0820   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0821   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0822   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0823   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0824   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0825   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0826   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0827   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0828   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0829   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0830   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
Rol 0831   901631001200 | labels tbv 1631001200;8720195287025;202011726_layout_69.pdf;500
